2022-11-30 00:00:28.162 | INFO | 46529 | 4305438080 | 11000ddd97e849e1a4f415b7f0634e43 | main.py:startup_event:63 | msg: app startup
2022-11-30 00:02:45.748 | INFO | 46529 | 4305438080 | 11000ddd97e849e1a4f415b7f0634e43 | main.py:on_shutdown:68 | msg: app shutdown
2022-11-30 00:02:50.830 | INFO | 46699 | 4302079360 | db66e112c5c54227ba047de7acd7f10d | main.py:startup_event:63 | msg: app startup
2022-11-30 00:04:53.694 | INFO | 46699 | 4302079360 | db66e112c5c54227ba047de7acd7f10d | main.py:on_shutdown:68 | msg: app shutdown
2022-11-30 00:04:57.570 | INFO | 46859 | 4380853632 | 937962fd227f4c8e92cc6d36d6ed3e3b | main.py:startup_event:63 | msg: app startup
2022-11-30 00:06:29.563 | INFO | 46859 | 4380853632 | 937962fd227f4c8e92cc6d36d6ed3e3b | main.py:on_shutdown:68 | msg: app shutdown
2022-11-30 00:06:33.146 | INFO | 46977 | 4300211584 | 333afe12c3a644d8b94e10e66b22d975 | main.py:startup_event:63 | msg: app startup
2022-11-30 00:07:04.191 | INFO | 46977 | 4300211584 | 333afe12c3a644d8b94e10e66b22d975 | main.py:on_shutdown:68 | msg: app shutdown
2022-11-30 00:07:08.521 | INFO | 47053 | 4350313856 | 11f70f226afb4bcaaddf6e94f6b552a6 | main.py:startup_event:63 | msg: app startup
2022-11-30 10:33:20.472 | INFO | 48389 | 4315432320 | f8c8e1ac6815465aab118ea7751d48ce | main.py:startup_event:63 | msg: app startup
2022-11-30 15:17:24.185 | INFO | 48389 | 4315432320 | f8c8e1ac6815465aab118ea7751d48ce | main.py:on_shutdown:68 | msg: app shutdown
2022-11-30 15:17:36.111 | INFO | 56964 | 4348986752 | 42a03b60a7034333abbd1b9a806825f8 | main.py:startup_event:63 | msg: app startup
2022-11-30 15:17:51.305 | WARNING | 56964 | 11552583680 | 1fc4523ab3244b978042d6bdfecfb3c9 | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
2022-11-30 15:18:53.779 | INFO | 56964 | 4348986752 | 42a03b60a7034333abbd1b9a806825f8 | main.py:on_shutdown:68 | msg: app shutdown
2022-11-30 15:18:56.703 | INFO | 57086 | 4336567680 | 6cdd8eebc8fb4655b93b284ece47b792 | main.py:startup_event:63 | msg: app startup
2022-11-30 15:18:58.540 | WARNING | 57086 | 11540738048 | ddd78fed91604c77abd06d823d56042d | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
2022-11-30 15:19:56.628 | INFO | 57086 | 4336567680 | 6cdd8eebc8fb4655b93b284ece47b792 | main.py:on_shutdown:68 | msg: app shutdown
2022-11-30 15:20:00.613 | INFO | 57185 | 4375758208 | 7547c50e8c59425a90dff0d169449967 | main.py:startup_event:63 | msg: app startup
2022-11-30 15:20:05.268 | WARNING | 57185 | 11590021120 | 16ad4b52d0dc4fcca8b0ef2d1d75b867 | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
2022-11-30 15:55:32.199 | INFO | 57185 | 4375758208 | 7547c50e8c59425a90dff0d169449967 | main.py:on_shutdown:68 | msg: app shutdown
