2023-02-16 16:29:50.077 | INFO | 34738 | 8642946560 | 3e6a6320d6c64b0a8283b40f4df131ba | main.py:startup_event:63 | msg: app startup
2023-02-16 16:29:50.080 | INFO | 34738 | 8642946560 | 3e6a6320d6c64b0a8283b40f4df131ba | main.py:on_shutdown:68 | msg: app shutdown
2023-02-16 16:32:58.576 | INFO | 34855 | 8632485376 | aab23cca51e4444eb43f918f0ec2b27d | main.py:startup_event:63 | msg: app startup
2023-02-16 16:33:06.093 | WARNING | 34855 | 13126193152 | f22b91a9836446c9a29a7a381684cc51 | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
2023-02-16 16:33:20.783 | WARNING | 34855 | 13126193152 | 13b35e6a13bb49db90b6dd4e6994c32f | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
2023-02-16 16:33:45.501 | WARNING | 34855 | 13126193152 | fc7e06cf9c5d4eeeb817ea2109cbbba9 | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
2023-02-16 16:34:02.448 | WARNING | 34855 | 13126193152 | b4a8981cede440d69e2dc4a7507dfdb8 | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
2023-02-16 16:36:14.727 | INFO | 34910 | 8671815168 | 61bf485ca56048a0b14c1a64dbbe3148 | main.py:startup_event:63 | msg: app startup
2023-02-16 16:36:14.729 | INFO | 34910 | 8671815168 | 61bf485ca56048a0b14c1a64dbbe3148 | main.py:on_shutdown:68 | msg: app shutdown
2023-02-16 16:37:09.216 | INFO | 35012 | 8605251072 | 1f6dddd153ac4f8f99da5478a21a28b3 | main.py:startup_event:63 | msg: app startup
2023-02-16 16:37:17.384 | WARNING | 35012 | 13071421440 | 7c9e3c8e39ab427799349a025bcce4b2 | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
2023-02-16 16:37:44.680 | WARNING | 35012 | 13071421440 | e80276c99df74d58a32fc6970588ab33 | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
2023-02-16 16:38:08.999 | WARNING | 35012 | 13071421440 | 238d282810e14621b0638c9265452019 | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
2023-02-16 16:44:21.152 | WARNING | 35012 | 13071421440 | b0b4d57e93634b08a7b659ceb91bb5cb | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
2023-02-16 16:45:18.715 | WARNING | 35012 | 13071421440 | ecd808c021de4d8fa57e1edee5fd3003 | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
2023-02-16 16:45:31.141 | WARNING | 35012 | 13071421440 | 5f04d429d1e540b495e5a839b6dcd1b3 | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
2023-02-16 16:45:41.510 | WARNING | 35012 | 13071421440 | 5c1e52e4ac12412cbbd5bef3a8c3e9b5 | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
2023-02-16 16:45:52.021 | WARNING | 35012 | 13071421440 | 883ac0d168534ab5bc28fdb89253c4a6 | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
2023-02-16 16:46:05.371 | WARNING | 35012 | 13071421440 | 8bfe623cf329414f9819ff136172d4a0 | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
2023-02-16 16:46:38.236 | WARNING | 35012 | 13071421440 | b340184bc4524fb6ab13e244315d527b | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
2023-02-16 16:49:24.626 | INFO | 35012 | 8605251072 | 1f6dddd153ac4f8f99da5478a21a28b3 | main.py:on_shutdown:68 | msg: app shutdown
2023-02-16 16:49:59.680 | INFO | 35303 | 8638621184 | 8eea8932b44d417db56f7c9f6bb5bbdc | main.py:startup_event:63 | msg: app startup
2023-02-16 16:50:06.609 | WARNING | 35303 | 13137338368 | 64529a6ca3d14f768cce521bc666967d | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
2023-02-16 16:50:22.888 | WARNING | 35303 | 13137338368 | c0f5c90a332b4b9daa550d7f0d1188bf | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
